Est,DATE,STA,TEMP,SAL,Season,SAND,SILT,CLAY,TOC,DO,pH,mean_annual_SAL,SAL_anomaly
RG,19-Oct-2002,A,26.13499999,1.129999999,Fall,0.4462,0.48375,0.05514,0.003105,8.824999988,8.24499999,0.92,-0.21
RG,19-Oct-2002,A,26.13499999,1.129999999,Fall,0.4462,0.48375,0.05514,0.003105,8.824999988,8.24499999,0.92,-0.21
RG,19-Oct-2002,B,26.67499998,1.93,Fall,0.51725,0.4014,0.04758,0.003195,7.579999983,8.269999996,1.21,-0.72
RG,19-Oct-2002,B,26.67499998,1.93,Fall,0.51725,0.4014,0.04758,0.003195,7.579999983,8.269999996,1.21,-0.72
RG,19-Oct-2002,B,26.67499998,1.93,Fall,0.51725,0.4014,0.04758,0.003195,7.579999983,8.269999996,1.21,-0.72
RG,19-Oct-2002,C,19.23999995,4.709999993,Fall,0.3908,0.5071,0.059645,0.004765,9.569999978,8.25499998,2.46,-2.25
RG,19-Oct-2002,C,19.23999995,4.709999993,Fall,0.3908,0.5071,0.059645,0.004765,9.569999978,8.25499998,2.46,-2.25
RG,19-Oct-2002,C,19.23999995,4.709999993,Fall,0.3908,0.5071,0.059645,0.004765,9.569999978,8.25499998,2.46,-2.25
RG,19-Oct-2002,E,20.75999996,3.314999994,Fall,0.77555,0.13585,0.02292,0.001435,9.009999976,8.154999986,7.14,3.83
RG,19-Oct-2002,E,20.75999996,3.314999994,Fall,0.77555,0.13585,0.02292,0.001435,9.009999976,8.154999986,7.17,3.86
RG,19-Oct-2002,E,20.75999996,3.314999994,Fall,0.77555,0.13585,0.02292,0.001435,9.009999976,8.154999986,7.17,3.86
RG,17-Nov-2003,A,25.69999999,0.949999999,Fall,0.30205,0.593,0.09147,0.007775,7.069999993,7.919999994,4.57,3.62
RG,17-Nov-2003,A,25.69999999,0.949999999,Fall,0.30205,0.593,0.09147,0.007775,7.069999993,7.919999994,4.57,3.62
RG,17-Nov-2003,A,25.69999999,0.949999999,Fall,0.30205,0.593,0.09147,0.007775,7.069999993,7.919999994,4.57,3.62
RG,17-Nov-2003,B,26.16499996,0.959999999,Fall,0.3386,0.54755,0.09775,0.012895,6.614999995,8.014999986,3.26,2.30
RG,17-Nov-2003,B,26.16499996,0.959999999,Fall,0.3386,0.54755,0.09775,0.012895,6.614999995,8.014999986,3.26,2.30
RG,17-Nov-2003,B,26.16499996,0.959999999,Fall,0.3386,0.54755,0.09775,0.012895,6.614999995,8.014999986,3.26,2.30
RG,17-Nov-2003,C,26.67499995,1.209999997,Fall,0.48115,0.43235,0.059555,0.008635,9.669999987,8.664999977,6.05,4.84
RG,17-Nov-2003,C,26.67499995,1.209999997,Fall,0.48115,0.43235,0.059555,0.008635,9.669999987,8.664999977,6.05,4.84
RG,17-Nov-2003,C,26.67499995,1.209999997,Fall,0.48115,0.43235,0.059555,0.008635,9.669999987,8.664999977,6.05,4.84
RG,17-Nov-2003,D,26.40499997,1.01,Fall,0.55735,0.35355,0.052015,0.00291,8.434999987,8.104999989,6.91,5.90
RG,17-Nov-2003,D,26.40499997,1.01,Fall,0.55735,0.35355,0.052015,0.00291,8.434999987,8.104999989,6.91,5.90
RG,17-Nov-2003,D,26.40499997,1.01,Fall,0.55735,0.35355,0.052015,0.00291,8.434999987,8.104999989,6.91,5.90
RG,17-Nov-2003,E,26.60999995,1.009999998,Fall,0.77555,0.13585,0.02292,0.001435,7.579999991,8.054999977,7.17,6.16
RG,17-Nov-2003,E,26.60999995,1.009999998,Fall,0.77555,0.13585,0.02292,0.001435,7.579999991,8.054999977,7.17,6.16
RG,17-Nov-2003,E,26.60999995,1.009999998,Fall,0.77555,0.13585,0.02292,0.001435,7.579999991,8.054999977,7.17,6.16
